design_id,AD_PHF,CTE_I,CTE_II,PiD,CBD,PSP,AGD,GGT,GPT,margin,is_selective
r3_c3_helix_hairpin_s2,0.0435,0.0459,0.0266,0.0414,0.0556,0.0465,0.0216,0.0298,0.0451,0.0044,False
r0_c5_scaffold_de_novo_3helix_s3,0.0382,0.0366,0.0396,0.0307,0.0396,0.0354,0.0364,0.0335,0.0465,0.0009,False
r0_c5_scaffold_de_novo_3helix_s2,0.0388,0.0381,0.04,0.0299,0.0397,0.0337,0.0365,0.0334,0.0469,0.0015,False
r9_c4_long_helix_capper_s3,0.0604,0.0305,0.0314,0.0167,0.0338,0.0451,0.0115,0.0288,0.0504,0.0294,False
r2_c5_three_helix_bundle_s0,0.0407,0.0341,0.0493,0.0346,0.0439,0.0405,0.0342,0.0408,0.0527,-0.0006,False
r0_c1_scaffold_engrailed_hd_s3,0.0539,0.0458,0.0468,0.0353,0.0518,0.0357,0.0413,0.0467,0.0455,0.0103,False
r2_c0_scaffold_villin_s2,0.0464,0.0526,0.052,0.0542,0.0513,0.0426,0.0598,0.0547,0.0617,-0.0072,False
r9_c7_scaffold_engrailed_hd_s1,0.0437,0.0411,0.0446,0.0403,0.0473,0.0238,0.0522,0.0312,0.0503,0.0024,False
r4_c6_scaffold_villin_s1,0.0444,0.0375,0.034,0.0606,0.0483,0.0486,0.0415,0.0511,0.0524,-0.0023,False
r4_c3_scaffold_darpin_s2,0.0311,0.0311,0.0383,0.0411,0.0403,0.039,0.0348,0.0398,0.0344,-0.0063,False
r8_c6_scaffold_de_novo_3helix_s0,0.034,0.0357,0.0367,0.0403,0.0393,0.0355,0.0406,0.0368,0.0328,-0.0032,False
r0_c6_helix_hairpin_s0,0.0518,0.0444,0.0402,0.0353,0.044,0.0447,0.0463,0.0424,0.0474,0.0087,False
r0_c6_helix_hairpin_s2,0.0519,0.0444,0.0422,0.0315,0.0397,0.0431,0.0464,0.0428,0.0463,0.0099,False
r6_c4_three_helix_bundle_s1,0.0416,0.0408,0.0423,0.028,0.0379,0.0442,0.0292,0.0327,0.0478,0.0037,False
r4_c3_scaffold_darpin_s3,0.0313,0.0309,0.0377,0.0401,0.0425,0.0409,0.0347,0.0393,0.0331,-0.0061,False
r9_c4_long_helix_capper_s0,0.0604,0.0297,0.0306,0.0163,0.0333,0.0446,0.0117,0.0284,0.0505,0.0298,False
r3_c3_helix_hairpin_s1,0.0454,0.0423,0.0317,0.0432,0.0523,0.0433,0.0236,0.0276,0.047,0.0065,False
