#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,2.0000000000000013,-1018.2248076985927,366.50341729456346,330.18898224137916,0
2000,3.999999999999781,-1121.676947910425,360.3583967040154,324.6528316929802,40.1
3000,5.999999999999561,-1037.6929553369387,410.9006735580483,370.1872037263585,30.1
4000,7.999999999999341,-1054.75043943648,281.45609777228793,253.56844734238825,32.9
5000,10.000000000000009,-1126.6089696148892,320.0557626228419,288.34352296363215,34.8
6000,12.000000000000677,-1044.6824834301292,380.6761851311615,342.95746287944246,36.4
7000,14.000000000001345,-1081.665596375678,311.1753495764994,280.3430121708549,37.3
8000,16.00000000000201,-1044.5629403270036,305.1749651976539,274.93716677456024,38.2
9000,18.000000000000902,-1122.113285182575,373.11696861304716,336.1472398613789,39
10000,19.999999999999794,-1122.0615137753114,322.6407811137747,290.67240881931366,39.3
11000,21.999999999998685,-1060.728714637432,386.0176120354628,347.7696426028049,39.7
12000,23.999999999997577,-1062.7594301065435,281.104414139655,253.25160974892947,39.8
13000,25.99999999999647,-1065.8055246571344,316.6439789268936,285.26979067892745,40.1
14000,27.99999999999536,-1104.5033805198555,367.3026366446072,330.90901215467863,40.4
15000,29.99999999999425,-1092.991049799353,340.8748038270555,307.09974105623377,40.4
16000,31.999999999993143,-1065.77069524199,254.30192584425586,229.10480534224217,40.7
17000,33.99999999999559,-1111.0434016717277,328.6577178027473,296.0931664651992,40.8
18000,35.99999999999803,-1076.318154032199,279.6173498512289,251.9118889693868,41
19000,38.000000000000476,-1074.3638709406491,304.76597811010583,274.56870355207735,40.2
20000,40.00000000000292,-1102.8326131121757,271.40817819539933,244.51611063233352,40.4
21000,42.000000000005365,-1133.3673166636881,361.67931408734864,325.84286798144734,39.1
22000,44.00000000000781,-1050.8886372323623,314.27075836044156,283.1317170717138,39.2
23000,46.00000000001025,-1058.7412942160713,326.59133808294894,294.23153084487944,39.4
24000,48.0000000000127,-1047.6224499430434,417.1428745229274,375.8109056791374,39.5
25000,50.00000000001514,-1061.7666652190935,287.8623722863147,259.3399658656257,39.7
26000,52.000000000017586,-1106.4465747901186,356.58852022197857,321.2564877026075,39.8
27000,54.00000000002003,-1080.4529542808918,372.68852576668303,335.7612486244244,39.9
28000,56.000000000022474,-1066.8109322232121,349.89918529896875,315.22995538155925,40
29000,58.00000000002492,-1077.6113914754317,328.1809615951786,295.66364892313527,40.1
30000,60.00000000002736,-1130.2189832877364,316.08852342199935,284.769371640013,40.2
31000,62.00000000002981,-1123.4271846964152,373.99345642006455,336.93688220382245,40.3
32000,64.00000000003224,-1092.3957586304916,327.4354741132786,294.99202693734514,40.3
33000,66.00000000002758,-1088.7579462573733,381.8936680441736,344.05431334515214,40.4
34000,68.00000000002292,-1054.4658810443716,331.6928277567062,298.8275471541599,40.5
35000,70.00000000001826,-1058.1537299058225,308.00894353968863,277.4903446722127,40.6
36000,72.0000000000136,-1056.4388726213992,372.08370898106466,335.21635919239674,40.1
37000,74.00000000000894,-1085.1871391700456,366.22783215813234,329.94070304008073,40.2
38000,76.00000000000428,-1069.3471767095607,299.70120019905323,270.00576147619216,40.3
39000,77.99999999999962,-1078.8699634359768,297.53202706640957,268.05151757238343,40.3
40000,79.99999999999496,-1061.8762350617073,336.65979467722633,303.30236969311323,40.4
41000,81.9999999999903,-1075.8277381490864,325.161743798286,292.9435857409691,40.4
42000,83.99999999998563,-1073.656203210292,347.2336962965011,312.8285723128905,40.5
43000,85.99999999998097,-1049.0718755591824,378.26971655356493,340.78943558982553,40.6
44000,87.99999999997631,-1058.239319083556,427.90185613997556,385.50384992590733,40.7
45000,89.99999999997165,-1066.1501011352916,364.4836425477629,328.3693338110156,40.7
46000,91.99999999996699,-1084.8975831711155,349.7429481071245,315.0891987148299,40.8
47000,93.99999999996233,-1078.9097587497622,338.9769873015771,305.38996680186455,40.8
48000,95.99999999995767,-1085.7250801773414,408.4489011055708,367.9783614275694,40.9
49000,97.999999999953,-1026.183094294387,303.38434495424747,273.32396742128935,40.9
50000,99.99999999994834,-1098.707270999621,374.8086734769046,337.6713247154116,40.7
51000,101.99999999994368,-1015.5939786449967,333.30250855628384,300.2777351738772,40.6
52000,103.99999999993902,-1070.6222848965097,349.5270580572185,314.894699802976,40.7
53000,105.99999999993436,-1090.0103122347732,295.9968172964267,266.668421733279,40.7
54000,107.9999999999297,-1051.477984840679,286.1248703984589,257.7746217162354,40.7
55000,109.99999999992504,-1082.064090867335,358.66949455944024,323.1312718550419,40.8
56000,111.99999999992038,-1094.6004868937605,327.65486870592906,295.18968314964263,40.8
57000,113.99999999991572,-1077.3288139109964,348.11643134164376,313.6238428953479,40.9
