#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,2.0000000000000013,-918.5353394014426,362.3312241778938,313.51388228337555,0
2000,3.999999999999781,-886.1515036175794,390.05158217794815,337.4994415588721,40.6
3000,5.999999999999561,-921.4407393131085,352.78770061284797,305.2561696605424,40
4000,7.999999999999341,-887.837222141781,340.84972363811573,294.92661134977345,39.8
5000,10.000000000000009,-946.0232835428293,305.4535572964941,264.2994150519972,40.1
6000,12.000000000000677,-938.3791551729521,344.39965016878136,297.9982518107217,39.8
7000,14.000000000001345,-879.5782803815589,334.40303874566393,289.34849642723,39.9
8000,16.00000000000201,-843.4266558030976,337.638157475189,292.14774353832934,39.9
9000,18.000000000000902,-855.660927146046,385.8465325160879,333.860943530789,39.9
10000,19.999999999999794,-921.1546668588487,352.021405679114,304.59311860775466,39.8
11000,21.999999999998685,-903.0760085525678,375.955614375216,325.30264124059124,39.7
12000,23.999999999997577,-882.6021130277761,348.0809255652209,301.1835443394313,39.8
13000,25.99999999999647,-914.5485843216288,362.81884049502736,313.9358014403462,39.6
14000,27.99999999999536,-914.0992294984874,409.79882449154684,354.5861130599935,39.5
15000,29.99999999999425,-931.6085631623405,342.7080162865455,296.5345338906744,39.6
16000,31.999999999993143,-979.1041583313988,276.26929376911653,239.04718408347026,39.2
17000,33.99999999999559,-937.6205340111864,338.1293373965075,292.57274617060756,38.6
18000,35.99999999999803,-896.1492548112341,320.6020562922211,277.40693771083494,38.5
19000,38.000000000000476,-848.5427151028127,366.88751883796294,317.45630162895196,37.7
20000,40.00000000000292,-863.2018373166222,331.1342052044995,286.5200769434998,37.8
21000,42.000000000005365,-889.1327977673677,362.03136154389455,313.25442051948784,37.7
22000,44.00000000000781,-887.3614218001043,353.75792963891877,306.0956785087175,37.9
23000,46.00000000001025,-895.7004943964959,285.99216155567944,247.4600776551176,38.1
24000,48.0000000000127,-877.4360739212823,362.23089145108315,313.4270675111355,38.1
25000,50.00000000001514,-931.4863867556239,344.8143946108297,298.3571172120601,38.2
26000,52.000000000017586,-894.6620521884311,388.59851587735693,336.2421487099129,38.1
27000,54.00000000002003,-907.0783919546197,351.2135739151593,303.89412703416366,38.2
28000,56.000000000022474,-897.316816452458,315.8192964403505,273.26856511379697,38.3
29000,58.00000000002492,-900.2051067357795,350.08452772213593,302.9171986558403,38.4
30000,60.00000000002736,-887.5081418850345,286.67362870385926,248.04972987667037,38.5
31000,62.00000000002981,-928.2590617789587,354.53176186505743,306.7652513450172,38.6
32000,64.00000000003224,-964.0571844305512,311.59186093052796,269.61069731122427,38.7
33000,66.00000000002758,-954.9490434665429,333.65780878133603,288.70367223400604,38.8
34000,68.00000000002292,-909.9890439285412,357.75552851133364,309.5546758533325,38.9
35000,70.00000000001826,-908.7895560306761,360.7385268762141,312.1357710938561,39
36000,72.0000000000136,-896.1789252010394,329.6656082617819,285.24934591537607,39.1
37000,74.00000000000894,-891.9120202363717,364.04361663488,314.99556194926856,39.2
38000,76.00000000000428,-926.6879984691094,321.54719605210295,278.22473760123427,39.2
39000,77.99999999999962,-904.1470324802531,362.02676910193253,313.2504468230117,39.3
40000,79.99999999999496,-967.1896972722093,344.87451407882776,298.4091367084633,39.4
41000,81.9999999999903,-921.141265598608,326.78489270222803,282.75675278907556,39.4
42000,83.99999999998563,-888.4383297183367,327.6237897710067,283.4826241998702,39.4
43000,85.99999999998097,-862.3955436862525,320.96200477816336,277.7183898842043,39.3
44000,87.99999999997631,-968.1994673969791,380.75662419168657,329.4568049615276,39.3
45000,89.99999999997165,-848.0435869888126,318.063038366651,275.21000486620176,39.3
46000,91.99999999996699,-824.0793867020119,362.0273778029247,313.2509735129531,39.4
47000,93.99999999996233,-905.72649028816,409.64238717782297,354.450752742453,39.4
48000,95.99999999995767,-888.4285317948098,341.68360673002906,295.6481443231168,39.4
49000,97.999999999953,-930.7273565786705,371.56383144185,321.50256874971086,39.5
50000,99.99999999994834,-979.666701153169,353.7510471002652,306.0897232631597,39.5
51000,101.99999999994368,-915.3752922091245,343.8050617549581,297.4837730422926,39.6
52000,103.99999999993902,-902.4268977253419,293.6757108307129,254.10841266515433,39.6
53000,105.99999999993436,-877.1335494211459,369.8098699677667,319.98492071271653,39.6
54000,107.9999999999297,-909.1438655069837,333.1468339497725,288.2615416846557,39.7
55000,109.99999999992504,-836.5365991231613,291.65872746585524,252.3631800077915,39.7
56000,111.99999999992038,-891.9122198187875,354.260371296838,306.5304255696493,39.7
57000,113.99999999991572,-891.1213523242964,328.8394547978293,284.53450114748915,39.8
58000,115.99999999991105,-889.0913728387884,334.0200725877669,289.0171277818203,39.8
59000,117.9999999999064,-889.8820982008901,291.5074887617245,252.23231788463025,39.8
60000,119.99999999990173,-897.7844874505612,342.80457960360457,296.61808711048326,39.8
61000,121.99999999989707,-882.9661987926777,299.31310139257033,258.98627050091136,39.8
62000,123.99999999989241,-877.9080498533799,389.804497547289,337.28564695150345,39.9
63000,125.99999999988775,-925.432340899099,293.2590465266308,253.7478860672105,39.9
64000,127.99999999988309,-892.5275238088475,334.17909246158126,289.15472270787967,39.9
65000,129.99999999989262,-895.4657913612102,347.79243820791015,300.93392524688585,39.9
66000,131.99999999990217,-894.3653159810785,390.3637323469071,337.7695353426683,39.9
67000,133.99999999991172,-880.2136842541414,331.09480808721486,286.4859878494155,39.9
68000,135.99999999992127,-915.6597609356861,354.55008573193965,306.78110641425036,39.9
69000,137.99999999993082,-869.2390385727375,339.85782206748956,294.0683499262498,39.9
70000,139.99999999994037,-896.1581017918661,308.77424088700695,267.17269876266414,39.9
71000,141.99999999994992,-847.8858959903639,348.45283924249566,301.50534961884443,39.9
72000,143.99999999995947,-826.7270326701475,334.94495183520166,289.8173968841162,39.9
73000,145.99999999996902,-912.1771787543923,320.0147436700866,276.8987544575225,39.9
74000,147.99999999997857,-908.7637214461595,366.9011992759577,317.4681388843163,39.9
75000,149.99999999998812,-868.2826105692491,348.39303526719544,301.45360310841085,39.9
76000,151.99999999999767,-875.5776615274993,316.1667973389298,273.5692467789164,39.9
77000,154.00000000000722,-851.7451025820774,368.80531116866666,319.1157073850427,39.8
78000,156.00000000001677,-909.1857776152185,352.1111765352344,304.6707945234367,39.8
79000,158.00000000002632,-928.5967808657033,331.03104648639976,286.43081692933396,39.8
80000,160.00000000003587,-867.4546233542301,360.2386068096648,311.7032058871151,39.7
81000,162.00000000004542,-900.4061979422095,376.04846715160403,325.38298384554406,39.7
82000,164.00000000005497,-956.0205952649546,349.19867511391885,302.1506980845381,39.6
83000,166.00000000006452,-868.2170521515748,303.93492318546396,262.9853884262287,39.6
84000,168.00000000007407,-867.8106838415488,320.8089685331378,277.5859724050955,39.6
85000,170.00000000008362,-895.8067960949097,383.56806660779256,331.88945820219004,39.6
86000,172.00000000009317,-930.7801391078394,359.07733503191855,310.69839371766045,39.6
87000,174.00000000010272,-864.3093327801206,314.6441560559463,272.2517528725157,39.6
88000,176.00000000011227,-899.8549578495844,344.6762820581539,298.23761273744657,39.6
89000,178.00000000012182,-864.6626481755941,379.65410689180726,328.50283120518355,39.6
90000,180.00000000013137,-884.8804923784705,380.6905923264169,329.3996696525791,39.6
